First name,Last name,System record ID,Date changed,Email Addresses/Email address,Email Addresses/Date changed,Todays Visitors Attribute/Value,Todays Visitors Attribute/Date changed,Addresses/Address line 1,Addresses/Address line 2,Addresses/City,Addresses/ZIP,Addresses/State abbreviation,Addresses/Country abbreviation,Phones/Number,Phones/Date changed
Joannie,Turner,0e75448d-40b1-4a09-8a7a-0168c922fecb,2/6/2021 4:02:19.150 PM,jturn@socialgoodsoftware.com,2/6/2021 4:02:18.643 PM,Yes,,197 Russel Spring,Suite 745,Roweberg,16126,OK,USA,(454) 788-7140,2/6/2021 4:02:19.570 PM
Charley,Bode,9aad28c9-de01-42fb-a989-02854bdd368f,2/6/2021 3:58:14.480 PM,charlbo@socialgoodsoftware.com,2/6/2021 3:58:13.940 PM,Yes,,8948 Alek Plain,Suite 105,Lake Letitia,,NH,USA,(410) 324-2109,2/6/2021 3:58:14.837 PM
Fay,Streich,62466b79-6ced-4a2d-aec2-052f68cc9f76,2/6/2021 3:59:52.213 PM,fst@socialgoodsoftware.com,2/6/2021 3:59:51.763 PM,Yes,,85670 Runolfsdottir Walks,Apt. 470,West Patsyville,,KS,USA,(496) 950-8500,2/6/2021 3:59:52.577 PM
Darion,Herzog,f85313c7-b9bc-4399-8546-0bc47314923e,2/6/2021 3:58:42.113 PM,darherzo@socialgoodsoftware.com,2/6/2021 3:58:41.663 PM,Yes,,73614 Reynolds Valleys,Apt. 843,West Ian,,MI,USA,(685) 966-8681,2/6/2021 3:58:42.513 PM
Aurelio,Walter,a1fa0f70-b279-4f0c-99d4-0d1ad4bb6990,2/6/2021 3:57:45.690 PM,awa@socialgoodsoftware.com,2/6/2021 3:57:45.233 PM,Yes,,446 Pfeffer Mill,Suite 980,New Naomiemouth,,HI,USA,(845) 649-4405,2/6/2021 3:57:46.100 PM
Claud,Pfannerstill,3561690b-8829-4d2e-949d-0f11dbf0b89b,2/6/2021 3:58:20.123 PM,claupfannerst@socialgoodsoftware.com,2/6/2021 3:58:18.923 PM,Yes,,08801 Audra Island,Apt. 804,North Kasandra,,ID,USA,(634) 316-8909,2/6/2021 3:58:19.817 PM
Etha,Abbott,7578a57f-6010-494f-9e4a-122b48361528,2/6/2021 3:59:28.617 PM,et@socialgoodsoftware.com,2/6/2021 3:59:28.183 PM,Yes,,010 Janick Vista,Apt. 368,North Kimberlymouth,,DE,USA,(708) 223-2306,2/6/2021 3:59:28.997 PM
Felipa,Mraz,c6d74b9a-d768-4637-a1cc-19318af5928c,2/6/2021 3:59:40.623 PM,femr@socialgoodsoftware.com,2/6/2021 3:59:40.207 PM,Yes,,58246 Kiarra Drives,Apt. 206,Mariannemouth,,WI,USA,(483) 969-3202,2/6/2021 3:59:41.017 PM
Eliane,Graham,d3c833bb-aba4-4680-b233-1aa3b8866373,2/6/2021 3:59:16.327 PM,elig@socialgoodsoftware.com,2/6/2021 3:59:15.883 PM,Yes,,007 Dereck Parkway,Apt. 761,New Gregville,,TX,USA,(417) 918-8383,2/6/2021 3:59:16.787 PM
Nichole,Barton,2b111c36-d1f7-4d24-803d-1b341114e079,2/6/2021 3:57:50.157 PM,b@socialgoodsoftware.com,2/6/2021 3:57:49.707 PM,Yes,,02401 Willms Common,Suite 201,Fridaside,,NM,USA,(666) 583-6010,2/6/2021 3:57:50.513 PM
